instance-0,40772.00
instance-1,45974.00
instance-10,37965.00
instance-11,47918.00
instance-12,47578.00
instance-13,43630.00
instance-14,43561.00
instance-15,44872.00
instance-16,52233.00
instance-17,42378.00
instance-18,41460.00
instance-19,45270.00
instance-2,44858.00
instance-20,39075.00
instance-21,43601.00
instance-22,48819.00
instance-23,47053.00
instance-24,49347.00
instance-25,46722.00
instance-26,44757.00
instance-27,41893.00
instance-28,46456.00
instance-29,47949.00
instance-3,45761.00
instance-30,47893.00
instance-31,46310.00
instance-32,48356.00
instance-33,46511.00
instance-34,45360.00
instance-35,40373.00
instance-36,45478.00
instance-37,49227.00
instance-38,43772.00
instance-39,45050.00
instance-4,49218.00
instance-40,48411.00
instance-41,43615.00
instance-42,44497.00
instance-43,45490.00
instance-44,48510.00
instance-45,48139.00
instance-46,45265.00
instance-47,50584.00
instance-48,49330.00
instance-49,47291.00
instance-5,45470.00
instance-6,53976.00
instance-7,43799.00
instance-8,44481.00
instance-9,38572.00
