instance-0,65577.00
instance-1,68169.00
instance-10,67816.00
instance-11,65660.00
instance-12,66264.00
instance-13,66311.00
instance-14,64533.00
instance-15,65893.00
instance-16,71995.00
instance-17,69278.00
instance-18,64110.00
instance-19,65547.00
instance-2,63955.00
instance-20,64394.00
instance-21,67406.00
instance-22,65889.00
instance-23,65935.00
instance-24,65052.00
instance-25,69724.00
instance-26,64679.00
instance-27,66972.00
instance-28,64403.00
instance-29,67152.00
instance-3,68635.00
instance-30,65617.00
instance-31,68301.00
instance-32,67684.00
instance-33,67926.00
instance-34,64612.00
instance-35,67281.00
instance-36,66221.00
instance-37,65893.00
instance-38,64298.00
instance-39,70120.00
instance-4,63596.00
instance-40,63676.00
instance-41,67448.00
instance-42,64672.00
instance-43,66298.00
instance-44,66963.00
instance-45,63305.00
instance-46,62570.00
instance-47,64071.00
instance-48,67607.00
instance-49,69700.00
instance-5,69372.00
instance-6,60822.00
instance-7,63395.00
instance-8,66364.00
instance-9,66795.00
