Bur26a,5426670
Bur26b,3817852
Bur26c,5426795
Bur26d,3821225
Bur26e,5386879
Bur26f,3782044
Bur26g,10117172
Bur26h,7098658 
Chr12a,9552 
Chr12b,9742
Chr12c,11156
Chr15a,9896
Chr15b,7990
Chr15c,9504
Chr18a,11098
Chr18b,1534
Chr20a,2192
Chr20b,2298
Chr20c,14142
Chr22a,6156
Chr22b,6194 
Chr25a,3796
Esc16a,68 
Esc16b,292 
Esc16c,160 
Esc16d,16
Esc16e,28
Esc16g,26
Esc16i,14
Esc16j,8
Esc32a,130
Esc32b,168
Esc32c,642
Esc32d,200 
Esc32e,2
Esc32g,6 
Esc32h,438
Esc64a,116 
Esc128,64
Had12,1652
Had14,2724
Had16,3720
Had18,5358
Had20,6922
Kra30a,88900
Kra30b,91420
Kra32,88700
Lipa20a,3683
Lipa20b,27076
Lipa30a,13178
Lipa30b,151426
Lipa40a,31538
Lipa40b,476581
Lipa50a,62093
Lipa50b,1210244
Lipa60a,107218
Lipa60b,2520135
Lipa70a,169755
Lipa70b,4603200 
Lipa80a,253195  
Lipa80b,7763962
Lipa90a,360630
Lipa90b,12490441
Nug12,578 
Nug14,1014
Nug15,1150
Nug16a,1610
Nug16b,1240
Nug17,1732
Nug18,1930
Nug20,2570
Nug21,2438
Nug22,3596
Nug24,3488
Nug25,3744
Nug27,5234
Nug28,5166
Nug30,6124
Rou12,235528
Rou15,354210
Rou20,725522
Scr12,31410
Scr15,51140
Scr20,110030
Ste36a,9526
Ste36b,15852
Ste36c,8239110
Tai12a,224416
Tai12b,39464925
Tai15a,388214
Tai15b,51765268
Tai17a,491812
Tai20a,703482
Tai20b,122455319
Tai25a,1167256
Tai25b,344355646
Tai30b,637117113
Tho30,149936
