instance-0,1798205.00
instance-1,1783896.00
instance-10,1792620.00
instance-11,1810268.00
instance-12,1787695.00
instance-13,1772803.00
instance-14,1828803.00
instance-15,1792443.00
instance-16,1783810.00
instance-17,1797842.00
instance-18,1790171.00
instance-19,1805263.00
instance-2,1798533.00
instance-20,1787143.00
instance-21,1785943.00
instance-22,1787194.00
instance-23,1790697.00
instance-24,1813824.00
instance-25,1781875.00
instance-26,1818405.00
instance-27,1776117.00
instance-28,1803671.00
instance-29,1797890.00
instance-3,1783061.00
instance-30,1803027.00
instance-31,1797506.00
instance-32,1780904.00
instance-33,1791939.00
instance-34,1782607.00
instance-35,1786341.00
instance-36,1784131.00
instance-37,1783850.00
instance-38,1787571.00
instance-39,1792009.00
instance-4,1787676.00
instance-40,1768092.00
instance-41,1804989.00
instance-42,1774136.00
instance-43,1789600.00
instance-44,1800455.00
instance-45,1784978.00
instance-46,1795801.00
instance-47,1788102.00
instance-48,1791982.00
instance-49,1780006.00
instance-5,1781426.00
instance-6,1796233.00
instance-7,1802346.00
instance-8,1794386.00
instance-9,1787699.00
