50

 0  8  5 12 12  2 10  2 11  0  7  0 14 13 11  9  8  8 13 16 14 10  7 11  9 13  8  4 14  4  5  8  9 15 15 11 13  7 10 17 13  8  4  9 10 12 13  9 10 12
  8  0  6  4  6  7 12 16 18 11  7  8 11 17  5 13 17 11 12 12  8 12 11  0 12  4  4 12  5  4  6  9 10  4 11 10 13 19  6  9 10 11 11  9 17  9  3 19  5  6
  5  6  0 11  9  2  9 13 13 12  5  6 12  6 10  6  8  8  9  8  6  7  4  9 15 16 16  9  5  8 16  7 19 10  8 10  8  7 12 11 11  6 12  6  8 18 11  5 11 10
 12  4 11  0 11  9  7  4 15 10  6 11  9 14  6 17 11  6 15  9  7 13 16  4  7 17 17  2  6 10  6 10  6 12  5  7 15  2 10 10  4 18  9 13 11 12  8  7 14  5
 12  6  9 11  0  4 16  3  2 15  2  1  7 10 12 10 13 15 12  8  8 14  8  9  7 17 14 17  6 12 14  7 14 12 20 11 11  5  9  6 12 12 11 11  3 17 20 14  3  3
  2  7  2  9  4  0  8  9 11 11 15 16 13  6  9 11 16 17 15 10  5 15  3  7 14 13  6  3 10  8 13  9  9 16 15 11  9 10  8  8  7 16 15 11 11 13 13  7 17 16
 10 12  9  7 16  8  0  6  5  7 10  8  4  9  3  9 16 11 10  7 11  9 10 11  9  1 11  6  6 14 11 10  9 13 10 11 11 18 15 13 10  8  7  9 18  8  9 19 13 13
  2 16 13  4  3  9  6  0  9 17  6  7 14  6 10 15 15  8 17 13  7 15  6 15 14 12 13  8 18  8  5  3 11 16 17  3  9  8 10 12 18  5  7  8  6  8 13 11 15  6
 11 18 13 15  2 11  5  9  0  8 13 12 15 17 15 18 11  7  7  9 13 10 10 20  7 14 14  9 14 18 17 17 14 13  7  9 16 13 18 10 13 11 12 13  6 12 14  1 15 11
  0 11 12 10 15 11  7 17  8  0 10  6  9 10 11  9  6  8  4  8  1  4  9  6 15 10  4 11  9  9 11  8  4  7  2 12 15  8 10  6  8 12 17 10 13  8 18 10 10  5
  7  7  5  6  2 15 10  6 13 10  0 12 10  1  5  3  7 10 15 11 14  9  8  4  4  2 13  6  8 10  8  8 13  8  8 12 13  9  8  7  8  8 15  8  1  9  9 18 10 17
  0  8  6 11  1 16  8  7 12  6 12  0  7 10  2 10  8 19 12 19  8 14  8 10  3  7  9 14  5  7 13  6 11  8 15  8  5 13 11 13 11 12 13  8  7  7 10 12 15  9
 14 11 12  9  7 13  4 14 15  9 10  7  0 11 14 14 12 15  9 10 10 13 10 16  2  8 14 18 17 13 11 13 11  9 13  6 13 16 13  9  2  5 16 12 11  8  9 13  3 15
 13 17  6 14 10  6  9  6 17 10  1 10 11  0  1 12  9  6 12 13  2  8  8  9  5 15  9 11 16  6 14  2  9  8 14  3 17  5 18  2 12 19  4  2  9  5  8  8 14  5
 11  5 10  6 12  9  3 10 15 11  5  2 14  1  0 14 14  4 18 13 13 14 20 15 11 12  9  6 19 10  5  7  9  6  8 13  3  7 14 10 13 13 15 15  4  9  3 14 13  9
  9 13  6 17 10 11  9 15 18  9  3 10 14 12 14  0 11 13 12  9  7 14 10 14 14  8 20 12 11  7 10 16 15 13 11  2 10 13  3 13 11 17 11 19  5  8 14 12 10  3
  8 17  8 11 13 16 16 15 11  6  7  8 12  9 14 11  0 18 19 18  7 14 15  9 12 14 10  8 10 16 11  7 12  9 14 14 10  5 10 11 11 11 14  6 18  4 15 11  9 13
  8 11  8  6 15 17 11  8  7  8 10 19 15  6  4 13 18  0  8 16 11 10 12 11  9 10  2  6 12  8  6  3  3  3  6  6 11  5 16 12 15 10  1 10  6 20  9  4 13 10
 13 12  9 15 12 15 10 17  7  4 15 12  9 12 18 12 19  8  0 11 11  8  8 13 13  7  2 12 11  7 12  7  4 16  6 16 17  6  8 14  6 12  7  9 13 11 20  7 14  7
 16 12  8  9  8 10  7 13  9  8 11 19 10 13 13  9 18 16 11  0 16 13 11 14  7 14  9 13 12  6  5  4  8 11 12  4 13 15  6  1 15  1  8 15  5 10  4  8 11 13
 14  8  6  7  8  5 11  7 13  1 14  8 10  2 13  7  7 11 11 16  0  8 15 12  7 10  8 10  6 16 11 14  9  5 18 14  9 20 18 15 10 15  4  4 11  8  8 16 10 17
 10 12  7 13 14 15  9 15 10  4  9 14 13  8 14 14 14 10  8 13  8  0 11  7 12 10 12  7  8 14 15 13 11 11 13 11 17 13  9  4  7 20  3  9  3 10  7 16  7  3
  7 11  4 16  8  3 10  6 10  9  8  8 10  8 20 10 15 12  8 11 15 11  0 16  6  9 13 17 12 11  6 12 14 13  4 11  8  6 16  2 12 13 16 15  9  5  6 10  5 13
 11  0  9  4  9  7 11 15 20  6  4 10 16  9 15 14  9 11 13 14 12  7 16  0  6  7  6 13 17 10  5  9  3  9 17 13 14 12  7 10  9  8 18  4  8  4 10  7  1  8
  9 12 15  7  7 14  9 14  7 15  4  3  2  5 11 14 12  9 13  7  7 12  6  6  0  7 11  8 13  6  7 13  4  4  4 18  4 12  9  8  8 13 10 11 12 16 14  2  0  6
 13  4 16 17 17 13  1 12 14 10  2  7  8 15 12  8 14 10  7 14 10 10  9  7  7  0 11 16 13 10 13 12 10 11  2 13 11 14  4 11  8  9  8 15  4 16  9  2  6 10
  8  4 16 17 14  6 11 13 14  4 13  9 14  9  9 20 10  2  2  9  8 12 13  6 11 11  0 12 10 12 14 17  4  8 10 15 11 10  7 16 10  9 13  9  7 13  9  7  9 19
  4 12  9  2 17  3  6  8  9 11  6 14 18 11  6 12  8  6 12 13 10  7 17 13  8 16 12  0 16  7  9 12  7 13  6 11  9 19 16  6  4  3  0  1 17 16 14  1  7 10
 14  5  5  6  6 10  6 18 14  9  8  5 17 16 19 11 10 12 11 12  6  8 12 17 13 13 10 16  0  2 15  2  2 11 18  7  8 15  3  7 13 13  9 10 17 16 11  6 12 15
  4  4  8 10 12  8 14  8 18  9 10  7 13  6 10  7 16  8  7  6 16 14 11 10  6 10 12  7  2  0  7  9 13 12 16 15  5 17  8 10 15 10 18  7 17 14 10 11  9  8
  5  6 16  6 14 13 11  5 17 11  8 13 11 14  5 10 11  6 12  5 11 15  6  5  7 13 14  9 15  7  0 13 12 15 17  8  7  9  5  9 13 13 10 12 12 15 11 13  8  9
  8  9  7 10  7  9 10  3 17  8  8  6 13  2  7 16  7  3  7  4 14 13 12  9 13 12 17 12  2  9 13  0  5  9 12 10 13 12  6  7 10 13 11  8 19  1 10  9 10 15
  9 10 19  6 14  9  9 11 14  4 13 11 11  9  9 15 12  3  4  8  9 11 14  3  4 10  4  7  2 13 12  5  0  8 15  2 10 14  6 13  9 10 11  1  6  9  9 12 13 13
 15  4 10 12 12 16 13 16 13  7  8  8  9  8  6 13  9  3 16 11  5 11 13  9  4 11  8 13 11 12 15  9  8  0  9  4  9  4  7  7  6 16  8 14  7  6  4  8 10 12
 15 11  8  5 20 15 10 17  7  2  8 15 13 14  8 11 14  6  6 12 18 13  4 17  4  2 10  6 18 16 17 12 15  9  0 11 12  8  6 12 13  8 14  9  3 12  9  1 18  8
 11 10 10  7 11 11 11  3  9 12 12  8  6  3 13  2 14  6 16  4 14 11 11 13 18 13 15 11  7 15  8 10  2  4 11  0  5  4  6 10 19  6  9 19 18  7 16 16 18  3
 13 13  8 15 11  9 11  9 16 15 13  5 13 17  3 10 10 11 17 13  9 17  8 14  4 11 11  9  8  5  7 13 10  9 12  5  0 10  9  0 10 14  7  9 14 15 11  6  9  7
